Event Name,Status
unc_cha_core_snp.evict_gtone,Successful
unc_cha_core_snp.evict_one,Successful
unc_cha_direct_go.ha_tor_dealloc,Successful
unc_cha_direct_go_opc.go,Successful
unc_cha_direct_go_opc.idle_due_suppress,Successful
unc_cha_direct_go_opc.nop,Successful
unc_cha_egress_ordering.iv_snoopgo_up,Successful
unc_cha_hitme_lookup.read,Successful
unc_cha_hitme_lookup.write,Successful
unc_cha_imc_reads_count.normal,Successful
unc_cha_imc_writes_count.full,Successful
unc_cha_llc_lookup.all,Successful
unc_cha_llc_lookup.code,Successful
unc_cha_llc_lookup.data_rd,Successful
unc_cha_llc_lookup.data_read_all,Successful
unc_cha_llc_lookup.data_read_local,Successful
unc_cha_llc_lookup.data_read_miss,Successful
unc_cha_llc_lookup.local_code,Successful
unc_cha_llc_lookup.local_data_rd,Successful
unc_cha_llc_lookup.local_dmnd_code,Successful
unc_cha_llc_lookup.local_dmnd_data_rd,Successful
unc_cha_llc_lookup.local_dmnd_rfo,Successful
unc_cha_llc_lookup.local_pf,Successful
unc_cha_llc_lookup.local_pf_data_rd,Successful
unc_cha_llc_lookup.local_pf_rfo,Successful
unc_cha_llc_lookup.local_rfo,Successful
unc_cha_llc_lookup.locally_homed_address,Successful
unc_cha_llc_lookup.miss_all,Successful
unc_cha_llc_lookup.rfo,Successful
unc_cha_llc_lookup.rfo_local,Successful
unc_cha_llc_lookup.write_local,Successful
unc_cha_llc_victims.e_state,Successful
unc_cha_llc_victims.local_all,Successful
unc_cha_llc_victims.local_e,Successful
unc_cha_llc_victims.local_m,Successful
unc_cha_llc_victims.local_s,Successful
unc_cha_llc_victims.m_state,Successful
unc_cha_llc_victims.s_state,Successful
unc_cha_llc_victims.total_e,Successful
unc_cha_llc_victims.total_m,Successful
unc_cha_llc_victims.total_s,Successful
unc_cha_misc.cv0_pref_miss,Successful
unc_cha_pmm_memmode_nm_setconflicts2.memwr,Successful
unc_cha_pmm_qos.ddr4_fast_insert,Successful
unc_cha_pmm_qos_occupancy.ddr_fast_fifo,Successful
unc_cha_requests.invitoe,Successful
unc_cha_requests.invitoe_local,Successful
unc_cha_requests.reads,Successful
unc_cha_requests.reads_local,Successful
unc_cha_requests.writes,Successful
unc_cha_requests.writes_local,Successful
unc_cha_rxc_inserts.irq,Successful
unc_cha_rxc_inserts.irq_rej,Successful
unc_cha_rxc_inserts.prq,Successful
unc_cha_rxc_irq1_reject.pa_match,Successful
unc_cha_snoop_rsp_misc.mtoi_rspifwdm,Successful
unc_cha_snoop_rsp_misc.rspifwdmptl_hitllc,Successful
unc_cha_tor_inserts.all,Successful
unc_cha_tor_inserts.ia,Successful
unc_cha_tor_inserts.ia_crd,Successful
unc_cha_tor_inserts.ia_drd,Successful
unc_cha_tor_inserts.ia_drd_pref,Successful
unc_cha_tor_inserts.ia_drdpte,Successful
unc_cha_tor_inserts.ia_hit,Successful
unc_cha_tor_inserts.ia_hit_crd,Successful
unc_cha_tor_inserts.ia_hit_drd,Successful
unc_cha_tor_inserts.ia_hit_drd_pref,Successful
unc_cha_tor_inserts.ia_hit_drdpte,Successful
unc_cha_tor_inserts.ia_hit_rfo,Successful
unc_cha_tor_inserts.ia_hit_rfo_pref,Successful
unc_cha_tor_inserts.ia_miss,Successful
unc_cha_tor_inserts.ia_miss_crd,Successful
unc_cha_tor_inserts.ia_miss_crd_local,Successful
unc_cha_tor_inserts.ia_miss_drd,Successful
unc_cha_tor_inserts.ia_miss_drd_ddr,Successful
unc_cha_tor_inserts.ia_miss_drd_local,Successful
unc_cha_tor_inserts.ia_miss_drd_local_ddr,Successful
unc_cha_tor_inserts.ia_miss_drd_pref,Successful
unc_cha_tor_inserts.ia_miss_drd_pref_ddr,Successful
unc_cha_tor_inserts.ia_miss_drd_pref_local,Successful
unc_cha_tor_inserts.ia_miss_drd_pref_local_ddr,Successful
unc_cha_tor_inserts.ia_miss_drdpte,Successful
unc_cha_tor_inserts.ia_miss_rfo,Successful
unc_cha_tor_inserts.ia_miss_rfo_local,Successful
unc_cha_tor_inserts.ia_miss_rfo_pref,Successful
unc_cha_tor_inserts.ia_miss_rfo_pref_local,Successful
unc_cha_tor_inserts.ia_miss_wil,Successful
unc_cha_tor_inserts.ia_rfo,Successful
unc_cha_tor_inserts.ia_rfo_pref,Successful
unc_cha_tor_inserts.ia_specitom,Successful
unc_cha_tor_inserts.ia_wbeftoe,Successful
unc_cha_tor_inserts.ia_wbeftoi,Successful
unc_cha_tor_inserts.ia_wbmtoe,Successful
unc_cha_tor_inserts.ia_wbmtoi,Successful
unc_cha_tor_inserts.io_hit,Successful
unc_cha_tor_inserts.io_miss_itomcachenear,Successful
unc_cha_tor_inserts.loc_all,Successful
unc_cha_tor_inserts.loc_ia,Successful
unc_cha_tor_occupancy.all,Successful
unc_cha_tor_occupancy.ddr,Successful
unc_cha_tor_occupancy.evict,Successful
unc_cha_tor_occupancy.hit,Successful
unc_cha_tor_occupancy.ia,Successful
unc_cha_tor_occupancy.ia_clflush,Successful
unc_cha_tor_occupancy.ia_clflushopt,Successful
unc_cha_tor_occupancy.ia_crd,Successful
unc_cha_tor_occupancy.ia_crd_pref,Successful
unc_cha_tor_occupancy.ia_drd,Successful
unc_cha_tor_occupancy.ia_drd_opt,Successful
unc_cha_tor_occupancy.ia_drd_opt_pref,Successful
unc_cha_tor_occupancy.ia_hit,Successful
unc_cha_tor_occupancy.ia_hit_crd,Successful
unc_cha_tor_occupancy.ia_hit_crd_pref,Successful
unc_cha_tor_occupancy.ia_hit_drd,Successful
unc_cha_tor_occupancy.ia_hit_drd_opt,Successful
unc_cha_tor_occupancy.ia_hit_drd_opt_pref,Successful
unc_cha_tor_occupancy.ia_hit_itom,Successful
unc_cha_tor_occupancy.ia_hit_llcprefcode,Successful
unc_cha_tor_occupancy.ia_hit_rfo,Successful
unc_cha_tor_occupancy.ia_hit_rfo_pref,Successful
unc_cha_tor_occupancy.ia_itom,Successful
unc_cha_tor_occupancy.ia_itomcachenear,Successful
unc_cha_tor_occupancy.ia_miss,Successful
unc_cha_tor_occupancy.ia_miss_crd,Successful
unc_cha_tor_occupancy.ia_miss_crd_local,Successful
unc_cha_tor_occupancy.ia_miss_crd_pref,Successful
unc_cha_tor_occupancy.ia_miss_drd,Successful
unc_cha_tor_occupancy.ia_miss_drd_ddr,Successful
unc_cha_tor_occupancy.ia_miss_drd_local,Successful
unc_cha_tor_occupancy.ia_miss_drd_local_ddr,Successful
unc_cha_tor_occupancy.ia_miss_drd_local_pmm,Successful
unc_cha_tor_occupancy.ia_miss_drd_pref,Successful
unc_cha_tor_occupancy.ia_miss_drd_pref_ddr,Successful
unc_cha_tor_occupancy.ia_miss_drd_pref_local,Successful
unc_cha_tor_occupancy.ia_miss_drd_pref_local_ddr,Successful
unc_cha_tor_occupancy.ia_miss_drd_pref_local_pmm,Successful
unc_cha_tor_occupancy.ia_miss_drd_pref_remote,Successful
unc_cha_tor_occupancy.ia_miss_rfo,Successful
unc_cha_tor_occupancy.ia_miss_rfo_local,Successful
unc_cha_tor_occupancy.ia_miss_rfo_pref,Successful
unc_cha_tor_occupancy.ia_miss_rfo_pref_local,Successful
