Metric Name,Status
tma_load_stlb_miss_1g,Failed
tma_load_stlb_miss_2m,Failed
tma_load_stlb_miss_4k,Failed
tma_store_stlb_hit,Failed
tma_store_stlb_miss,Failed
tma_store_stlb_miss_1g,Failed
tma_store_stlb_miss_2m,Failed
tma_store_stlb_miss_4k,Failed
tma_microcode_sequencer,Failed
tma_ms,Failed
tma_info_memory_mix_offcore_mwrite_any_pki,Failed
tma_info_memory_mix_offcore_read_l3m_pki,Failed
tma_remote_cache,Failed
tma_info_pipeline_retire,Failed
tma_info_thread_uoppi,Failed
tma_int_operations,Failed
tma_memory_operations,Failed
tma_other_light_ops,Failed
tma_ports_utilization,Failed
tma_ports_utilized_0,Failed
tma_ports_utilized_1,Failed
tma_ports_utilized_2,Failed
C1_Core_Residency,Failed
C2_Pkg_Residency,Failed
C6_Core_Residency,Failed
C6_Pkg_Residency,Failed
tma_info_system_power,Failed
tma_info_thread_slots_utilization,Failed
tma_info_system_upi_data_transmit_bw,Failed
tma_local_mem,Failed
tma_remote_mem,Failed
UNCORE_FREQ,Failed
tma_info_system_socket_clks,Failed
tma_info_system_uncore_frequency,Failed
tma_info_thread_slots,Failed
tma_few_uops_instructions,Failed
tma_cisc,Failed
tma_fp_divider,Failed
tma_int_divider,Failed
tma_memory_fence,Failed
tma_slow_pause,Failed
tma_split_stores,Failed
tma_store_fwd_blk,Failed
tma_page_faults,Failed
iio_bandwidth_read,Failed
iio_bandwidth_write,Failed
io_bandwidth_read,Failed
io_bandwidth_read_local,Failed
io_bandwidth_read_remote,Failed
io_bandwidth_write,Failed
io_bandwidth_write_local,Failed
io_bandwidth_write_remote,Failed
io_percent_of_inbound_full_writes_that_miss_l3,Failed
io_percent_of_inbound_partial_writes_that_miss_l3,Failed
io_percent_of_inbound_reads_that_miss_l3,Failed
llc_code_read_mpi_demand_plus_prefetch,Failed
llc_data_read_mpi_demand_plus_prefetch,Failed
llc_demand_data_read_miss_latency,Failed
llc_demand_data_read_miss_latency_for_local_requests,Failed
llc_demand_data_read_miss_latency_for_remote_requests,Failed
llc_demand_data_read_miss_to_dram_latency,Failed
llc_demand_data_read_miss_to_pmem_latency,Failed
llc_miss_local_memory_bandwidth_read,Failed
llc_miss_local_memory_bandwidth_write,Failed
llc_miss_remote_memory_bandwidth_read,Failed
llc_miss_remote_memory_bandwidth_write,Failed
memory_bandwidth_read,Failed
memory_bandwidth_total,Failed
memory_bandwidth_write,Failed
memory_extra_write_bw_due_to_directory_updates,Failed
numa_reads_addressed_to_local_dram,Failed
numa_reads_addressed_to_remote_dram,Failed
pmem_memory_bandwidth_read,Failed
pmem_memory_bandwidth_total,Failed
pmem_memory_bandwidth_write,Failed
uncore_frequency,Failed
upi_data_receive_bw,Failed
upi_data_transmit_bw,Failed
