Event Name,Status
uops_issued.any,Zero value
uops_issued.cycles,Zero value
uops_retired.cycles,Zero value
uops_retired.heavy,Zero value
uops_retired.slots,Zero value
uops_retired.stall_cycles,Zero value
uops_retired.stalls,Zero value
has_pmem,Zero value
dtlb_load_misses.stlb_hit,Zero value
dtlb_load_misses.walk_active,Zero value
dtlb_load_misses.walk_completed,Zero value
dtlb_load_misses.walk_completed_1g,Zero value
dtlb_load_misses.walk_completed_2m_4m,Zero value
dtlb_load_misses.walk_completed_4k,Zero value
dtlb_load_misses.walk_pending,Zero value
dtlb_store_misses.stlb_hit,Zero value
dtlb_store_misses.walk_active,Zero value
dtlb_store_misses.walk_completed,Zero value
dtlb_store_misses.walk_completed_1g,Zero value
dtlb_store_misses.walk_completed_2m_4m,Zero value
dtlb_store_misses.walk_completed_4k,Zero value
dtlb_store_misses.walk_pending,Zero value
itlb_misses.stlb_hit,Zero value
itlb_misses.walk_active,Zero value
itlb_misses.walk_completed,Zero value
itlb_misses.walk_completed_2m_4m,Zero value
itlb_misses.walk_completed_4k,Zero value
itlb_misses.walk_pending,Zero value
topdown-bad-spec,Not supported
topdown-be-bound,Not supported
topdown-br-mispredict,Not supported
topdown-fe-bound,Not supported
topdown-fetch-lat,Not supported
topdown-heavy-ops,Not supported
topdown-mem-bound,Not supported
topdown-retiring,Not supported
ocr.demand_code_rd.l3_hit,Not supported
ocr.demand_code_rd.l3_hit.snoop_hitm,Not supported
ocr.demand_code_rd.snc_cache.hit_with_fwd,Not supported
ocr.demand_code_rd.snc_cache.hitm,Not supported
ocr.demand_data_rd.l3_hit,Not supported
ocr.demand_data_rd.l3_hit.snoop_hit_no_fwd,Not supported
ocr.demand_data_rd.l3_hit.snoop_hit_with_fwd,Not supported
ocr.demand_data_rd.l3_hit.snoop_hitm,Not supported
ocr.demand_data_rd.remote_cache.snoop_hit_with_fwd,Not supported
ocr.demand_data_rd.remote_cache.snoop_hitm,Not supported
ocr.demand_data_rd.snc_cache.hit_with_fwd,Not supported
ocr.demand_data_rd.snc_cache.hitm,Not supported
ocr.demand_rfo.l3_hit,Not supported
ocr.demand_rfo.l3_hit.snoop_hitm,Not supported
ocr.demand_rfo.snc_cache.hit_with_fwd,Not supported
ocr.demand_rfo.snc_cache.hitm,Not supported
ocr.hwpf_l3.l3_hit,Not supported
ocr.reads_to_core.l3_hit,Not supported
ocr.reads_to_core.l3_hit.snoop_hit_no_fwd,Not supported
ocr.reads_to_core.l3_hit.snoop_hit_with_fwd,Not supported
ocr.reads_to_core.l3_hit.snoop_hitm,Not supported
ocr.reads_to_core.remote_cache.snoop_fwd,Not supported
ocr.reads_to_core.remote_cache.snoop_hit_with_fwd,Not supported
ocr.reads_to_core.remote_cache.snoop_hitm,Not supported
ocr.reads_to_core.snc_cache.hit_with_fwd,Not supported
ocr.reads_to_core.snc_cache.hitm,Not supported
ocr.rfo_to_core.l3_hit_m,Not supported
ocr.streaming_wr.l3_hit,Not supported
frontend_retired.any_dsb_miss,Not supported
